Concept,Concept_Frequency,E_mean,P_mean,A_mean,E_sd,P_sd,A_sd
a 27 year old is,103,0.755339799,0.163106795,1.304854367,1.076006416,1.006059121,1.216260633
a baby is,103,2.877669899,-2.916504851,1.387378638,1.443642731,1.499875631,2.017991604
a baby sitter is,105,1.918095232,0.872380956,0.835238084,1.162290587,1.227215053,1.366563684
a bachelor is,95,0.758510635,0.768085108,1.250526311,1.245586576,1.133954246,1.213038532
a backstabber is,101,-3.378217822,-0.351485143,0.630693062,0.602595053,2.209145243,2.07184664
a bailiff is,95,1.26842105,1.575789475,-0.062105265,1.569880269,1.205282331,1.720599772
a bailsman is,83,0.425609753,1.186746984,0.818072285,1.221495836,1.228301532,1.2495994
a baker is,103,2.05339804,0.594174756,1.300970862,1.150687388,1.1679398,1.315033368
a bandit is,95,-2.688421058,1.128421042,1.407368422,1.017387475,1.309918221,1.697823515
a bank manager is,102,0.527450977,1.510784309,0.213861386,1.503603386,1.371990444,1.497733598
a bank teller is,104,1.320192304,0.246153847,0.297115382,1.133375386,1.273472661,1.569642631
a banker is,98,0.288775506,1.479591834,0.482653054,1.643473969,1.243122034,1.603027125
a baptist is,97,0.422680412,0.171134022,0.445360827,1.704009069,1.207266073,1.356851483
a barber is,135,1.662962955,0.262222226,0.899259253,1.159241948,1.155187302,1.402795513
a bartender is,88,0.967045448,0.673863629,1.904545446,1.209038899,1.159616886,1.299417114
a bastard is,96,-1.484210528,-0.883157892,0.31368421,1.367192793,1.457676131,1.310563502
a battered woman is,93,-2.097849461,-2.670967745,-1.62580645,1.939014685,1.555745359,1.604267626
a beautician is,102,1.509803913,0.340196076,1.25686274,1.287295864,1.459299963,1.335316904
a beauty is,100,2.267999994,1.495000002,0.171999999,1.188996692,1.310283722,1.285669262
a beggar is,104,-1.302884614,-2.654807676,-0.418269232,1.212191849,1.065512305,1.767163509
a beginner is,114,0.618421049,-1.517699113,-0.681578946,1.118276624,1.219940725,1.324484582
a bellhop is,92,1.591304339,-0.851086951,1.158695642,1.17301641,1.390825074,1.581774775
a benefactor is,99,2.088888881,1.629292927,-0.033333336,1.329330728,1.482500127,1.598149433
a best friend is,136,3.111029409,1.822058821,1.020588235,0.944431858,1.242619168,1.323358109
a best man is,89,2.413483139,1.315730335,0.923595498,0.99763254,1.082599868,1.309668798
a big shot is,88,-0.266666665,2.227272725,2.137931021,1.595463524,1.380298758,1.31831829
a bigamist is,96,-2.317708321,0.248958334,0.974736834,1.258151926,1.681352512,1.374615482
a bigot is,88,-3.190909086,-0.945454548,1.469318175,0.843315352,1.990085134,1.655666544
a bill collector is,105,-1.199047616,1.376190475,1.897115366,1.487867292,1.622054954,1.407225228
a biologist is,102,2.26568627,1.243137257,9.80E-04,1.117236259,1.206952616,1.411304784
a bisexual is,135,0.345522385,-0.134814817,0.340740741,1.827262861,1.255098171,1.11805376
a bitch is,100,-2.358999997,0.329,1.992999991,1.471554874,2.139163193,1.563552999
a blabbermouth is,104,-2.107692295,-0.759615374,2.530769221,1.027268253,1.498835734,1.190257936
a Black is,95,0.565957444,0.139361704,0.647311823,1.306851519,1.090941983,0.949552676
a black man is,100,0.71734694,0.493877552,0.462999997,1.441149708,1.147010131,1.077750644
a black professional is,93,1.937634392,1.461956517,0.947252739,1.387671952,1.380224727,1.369617999
a black woman is,101,1.44455445,0.69009901,1.054455443,1.553027701,1.38740801,1.260755706
a blacksmith is,99,1.821212112,1.608080808,1.69595959,1.244028404,1.223884478,1.444830278
a blind date is,136,0.565441175,-0.366176468,0.267647059,1.265869843,1.241398288,1.227033898
a blind person is,104,0.601923077,-0.872115383,-0.997115384,1.631723184,1.477761136,1.354779869
a blockhead is,98,-1.953061221,-1.705102026,-0.926530608,1.173171229,1.386709548,1.727315466
a blogger is,105,1.052884614,0.745192309,0.914285706,1.165853722,1.283947178,1.636096941
a blonde is,104,0.55631068,0.201941749,0.597115381,1.066115351,0.845632442,1.10070204
a blood donor is,102,2.937254883,1.650980388,-0.065346533,0.960911444,1.497505849,1.444952282
a blue collar worker is,101,1.492999994,-0.462376237,1.16534652,1.420716494,1.470159945,1.453646138
a board director is,96,0.837499994,2.462499991,0.921874994,1.255073908,1.012370845,1.505932341
a boarder is,80,0.645569621,-0.124050631,-0.211249999,1.021160407,1.139862238,1.097291685
a bodyguard is,102,2.059803915,2.544117641,0.744117642,1.291883252,1.101715448,1.79021396
a bohemian is,82,0.404938268,-0.335802468,-0.201219513,1.122040673,1.154481336,1.319791774
a bonehead is,100,-2.181999994,-1.648484848,-0.12551021,1.27083683,1.429525654,1.904433839
a bookie is,97,-1.171134018,1.101030921,1.303092781,1.603833861,1.489091919,1.544644893
a bookkeeper is,91,1.45714285,0.369230767,-0.993406589,1.161047691,1.396081195,1.485021668
a bookworm is,103,2.083495132,-0.038834948,-2.125242708,1.24830057,1.302579117,1.074546728
a boor is,71,-1.444285706,-0.610000001,0.330434772,1.467585579,1.577665669,1.987927109
a bore is,101,-1.403960394,-1.409900978,-1.940594054,1.211521418,1.179534217,1.601822597
a born again Christian is,91,0.531111105,0.230337079,0.790000001,2.048767475,1.60343413,1.74909607
a boss is,101,1.070297019,2.469306935,1.510891075,1.302808077,1.032350969,1.33033085
a bouncer is,96,1.052083327,2.359374996,1.456249993,1.251355402,1.292209701,1.531824671
a boxer is,88,0.626136356,2.380681804,2.692045435,1.222724881,0.9654798,0.803758634
a boy is,101,1.262376232,0.198019802,1.989108905,1.396126887,1.686237235,1.340664086
a boy scout is,88,1.904545441,0.413636367,1.470454539,1.102234828,1.165616776,1.198961145
a boyfriend is,88,1.435632167,0.819318185,0.820689652,1.210033333,0.937452888,0.974457258
a braggart is,99,-2.047474743,-0.427272727,2.034693871,1.223940059,1.69409647,1.448219809
a brain is,103,2.827184466,2.761165053,2.166990284,1.389187534,1.294424932,1.475777514
a brat is,97,-2.747422672,-0.655670101,2.498969062,1.170033187,1.793853452,1.193602283
a breadwinner is,101,2.617821774,2.402999994,1.781999987,1.094019751,1.05948863,1.171667198
a bricklayer is,88,1.330681812,0.889772721,1.170454543,1.199076068,1.277393149,1.398370073
a bride is,102,1.991176463,0.997058819,1.05686274,1.281637478,1.20727627,1.257256925
a bridegroom is,92,1.634782595,0.777173913,0.61630435,1.346255262,1.3982802,1.355029477
a bridesmaid is,135,1.74592592,0.064444448,0.919999997,1.25470832,1.37082971,1.340795038
a broad is,85,0.084337349,-0.049411764,0.493902436,1.431397221,1.291789408,1.16113477
a broadcast news analyst is,97,0.780412364,1.40206185,1.489690719,1.22241556,1.114112069,1.249206791
a brother in law is,100,1.282999989,0.536999999,0.410999996,1.175941909,1.022045382,0.862331222
a brother is,101,1.695049497,0.992079208,1.162376235,1.452127824,1.229608326,1.105789442
a brunette is,101,0.940594054,0.342574255,0.310891089,1.312034921,1.008201019,0.84058325
a brute is,100,-2.123,2.096999999,1.501999992,1.313092968,1.622471926,1.736127107
a Buddhist is,112,1.402678563,0.21785715,-1.75625,1.642095986,1.653073265,1.411457699
a buddy is,101,2.821782167,1.4029703,0.899009897,1.081721224,1.134235909,1.069719115
a buffoon is,100,-1.985999997,-1.564999981,0.428,1.218545251,1.495067632,2.107805586
a building contractor is,113,1.405309725,1.464601762,1.661061935,1.086758007,1.004447278,1.188594121
a bulldozer operator is,137,1.086861312,1.284671528,1.801459844,1.15744505,1.270299316,1.428387887
a bully is,100,-3.363999996,0.871000003,2.631999986,0.669768546,2.275264203,1.034542794
a bum is,105,-1.302857141,-2.520952367,-1.745192308,1.384839417,1.128110674,1.363951984
a bureaucrat is,98,-1.116326532,1.147959171,0.096938769,1.45366185,1.628624711,1.86875856
a burglar is,103,-3.36504855,0.73980582,0.645631068,0.747375645,1.902853355,2.188372861
a bus driver is,102,1.357843135,0.298039217,0.771287126,1.130796292,1.410917847,1.482250753
a busboy is,100,1.121999998,-1.280999997,1.673999991,1.193550007,1.427485952,1.37169216
a businessman is,93,0.921505374,1.48924731,1.527956977,1.348819891,1.320528743,1.335173452
a businesswoman is,105,1.9495238,1.944761904,1.738095232,1.370788919,1.205674161,1.114966444
a busybody is,200,-0.7915,0.113000003,2.400499987,1.903996777,1.467959637,1.26770863
a butcher is,97,1.033333335,0.906185567,1.357731952,1.183897818,1.223622908,1.267119019
a bystander is,101,0.43960396,-1.099999998,-1.40297029,1.047098775,1.201166102,1.270626254
a cabinet maker is,102,1.633333325,0.563725494,1.158823521,1.296708188,1.155853736,1.566123598
a cabinet member is,101,0.712871284,2.280198012,0.718811876,1.240859642,0.933168775,1.601980831
a cad is,62,-2.009677411,-0.685245896,0.859999986,1.43317939,1.543679158,1.340149228
a call girl is,101,-1.299009896,-0.765346535,1.632673257,1.625945573,1.684009245,1.163710345
a capitalist is,97,0.457731954,1.552577316,1.627835043,1.874768597,1.640762825,1.382836924
a captive is,100,-1.411999995,-2.732999996,-1.593000005,1.817106145,1.535969742,1.799733708
a carpenter is,104,1.685576914,1.259615386,2.032692293,1.216426266,1.223040871,1.121497115
a cashier is,93,1.446236555,-0.502150538,1.282795693,1.351533674,1.591825482,1.455471208
a casual laborer is,101,1.030693066,-0.698019795,0.854455433,1.295973961,1.38527832,1.46741436
a Catholic is,104,0.594174753,0.401941744,0.052884613,1.478395071,1.145235701,1.138296862
a celebrity is,88,0.401136362,1.898863636,1.937499985,1.186755863,1.29183949,1.14954388
a cement worker is,96,1.298958329,0.866666667,1.556249993,1.181212113,1.473961127,1.417248067
a censor is,101,-1.544554451,1.42079207,0.25148515,1.594457606,1.542486089,1.698034961
a CEO is,104,0.786538463,3.005769235,2.048076915,1.665763633,0.961171105,1.432221487
a chain smoker is,100,-2.471000005,-1.939999999,-0.023999999,1.239443921,1.223919856,1.713471288
a chairman is,100,1.001999998,2.353999994,1.402999993,1.267621648,1.154387327,1.297507711
a chairman of the board is,88,0.692045451,2.899999998,1.598863624,1.334702306,0.871911636,1.306438011
a chairperson is,96,0.845833328,2.124999995,0.739583333,1.264571208,1.445719635,1.588940661
a chairwoman is,101,1.529702962,2.308910887,1.261386129,1.350521711,1.088034835,1.26403878
a chambermaid is,98,0.912244898,-1.013402055,0.545918362,1.418963272,1.500390838,1.711162158
a champion is,102,2.544117641,2.536274502,2.116666668,1.229954,0.993323182,1.164328164
a chap is,93,1.120430102,0.270652173,0.265217389,1.302385689,1.216962342,1.124691384
a chaperon is,88,1.724999985,1.270454544,0.271590905,1.115332008,1.004147611,1.365161674
a chaplain is,98,1.594897955,0.919387753,-0.345918367,1.519520573,1.426599885,1.600268555
a chatterbox is,101,-0.515841583,-0.074257424,2.949504944,1.284346722,1.290554411,0.771443292
a chauffeur is,101,1.373267315,-0.275247523,-0.22673267,1.251710108,1.299415701,1.45532752
a cheat is,98,-2.979591832,-0.735714279,0.307142858,1.053805987,1.7219774,1.669511314
a cheerleader is,98,1.206122441,0.353061225,2.840816317,1.384361567,1.497985174,1.002968458
a chef is,103,1.975728143,1.487378639,2.26019415,1.348235295,1.15433366,1.093684155
a chemical engineer is,96,1.886458332,1.489583328,0.11770833,1.246352134,1.171995968,1.570517491
a chemist is,97,1.669072158,1.375257736,0.265979374,1.301230252,1.106894214,1.55843715
a chief operations officer is,103,1.067961167,2.551456304,1.774757272,1.535604476,1.239929167,1.418762119
a child is,100,2.209999995,-1.674999983,2.390999983,1.644058789,1.520258817,1.403609699
a child molester is,88,-3.878409093,-0.107954542,0.189772727,0.34986003,2.59434494,2.054154165
a Chinese is,100,0.940404037,0.273999999,0.550505046,1.353975183,1.227679099,1.253026831
a chiropractor is,102,1.624752471,1.085294117,0.408910886,1.623046882,1.291970408,1.50917851
a choreographer is,93,1.550537629,1.337634401,2.345161276,1.212581116,1.183116175,1.198324564
a Christian is,113,1.168141587,0.443362834,0.250442478,1.909574817,1.58084946,1.434406538
a Christian missionary is,91,1.524175815,1.113186813,0.669230769,1.935535564,1.584943652,1.647806092
a chronically ill person is,99,-0.824242426,-2.388888877,-2.274747468,1.628389142,1.132532729,1.225856086
a chum is,92,1.783695636,0.339130429,0.233695648,1.680284966,1.435113538,1.268578601
a church deacon is,112,1.436936928,1.054464285,0.03243243,1.649403637,1.290288622,1.501282001
a citizen is,104,1.282692299,0.074038462,0.42403846,1.309816724,1.613414343,1.136977356
a city councilor is,94,0.929787232,1.452127655,0.87553191,1.346347487,1.171409287,1.408246528
a civil engineer is,98,1.773469383,1.276530609,0.601030926,1.130418318,1.029643217,1.298115208
a civil servant is,100,1.272999992,0.144999998,0.219,1.57248146,1.61197382,1.486280348
a classmate is,104,0.895192301,0.086538462,0.195192309,1.036178539,0.67981404,0.839946807
a cleaning woman is,102,1.671568621,-0.496078427,1.317647047,1.382878148,1.566096339,1.553304477
a clergy is,113,1.172566359,1.285840704,0.023008848,1.706827033,1.357510007,1.639741305
a clerical worker is,103,1.227184461,-0.44951456,0.249514559,1.178416528,1.325457647,1.592991614
a clerk is,104,1.039423074,-0.435576918,0.565384612,1.287008895,1.443762495,1.561165184
a client is,107,1.679245268,0.863551405,0.479245281,1.142488254,1.633574187,1.176007528
a clod is,78,-1.134615385,-1.172727265,-0.737662339,1.214504009,1.420492531,1.74393981
a clown is,100,0.681999997,-0.133,2.318999991,1.554100468,1.400581053,1.078691213
a co worker is,102,1.139215679,0.125490197,0.698039215,1.130071119,1.046700258,1.066499817
a coach is,103,1.980582507,2.34951455,2.437864057,1.191148581,0.697456694,0.834796737
a coal miner is,105,1.398076915,0.281730769,1.589523799,1.336927409,1.808274641,1.415567549
a collaborator is,97,1.342268031,1.121649482,0.983505141,1.374078096,1.119172572,1.153588625
a colleague is,136,1.502205873,0.410294117,0.460294115,1.180926615,0.80344438,0.867886267
a college student is,98,1.215306115,-0.272448977,1.58673469,1.206968766,1.4119359,1.163680413
a comedian is,91,2.097802184,1.136666669,2.506666645,1.067809595,1.10366601,0.878174821
a commentator is,108,1.084259249,1.060185179,1.996296281,1.129648186,1.304194507,1.230449035
a commissioned officer is,100,1.659999989,2.128000001,1.290999991,1.270329622,1.122594405,1.163684058
a commissioner is,87,0.854651162,1.985057467,0.970930227,1.093473362,1.109213921,1.091773112
a communist is,91,-1.419780212,0.228571434,0.829670329,1.530810953,1.608815,1.328365284
a companion is,104,2.67980767,1.10288461,0.312499996,0.967368547,1.120372397,1.105299452
a competitor is,106,0.682075468,1.302830185,1.687735841,1.385489225,1.088770168,1.08922889
a computer programmer is,91,1.714285701,1.248351646,0.170329673,1.203196791,1.135425778,1.72829359
a computer security specialist is,96,1.899999996,1.413541667,-0.077083337,1.143862339,1.222389362,1.657676182
a computer support specialist is,91,1.759340649,0.988888887,0.62111111,1.282357026,1.235199518,1.582736527
a con artist is,90,-3.138888882,0.885555552,1.008888886,0.773536234,1.956640161,1.949799436
a confidant is,99,2.39292928,1.46464646,-0.709090905,1.122701961,1.163940625,1.668195329
a conformist is,99,-1.065656565,-1.711111101,-1.355555555,1.43179363,1.273664874,1.419918239
a connoisseur is,110,1.698181806,1.063636364,0.264545452,1.084078415,1.090890324,1.442448618
a conservative is,101,-0.089108912,0.610891087,0.071287133,1.756695824,1.224328461,1.583561586
a conspiracy theorist is,101,-0.76633663,-0.837623762,1.281188115,1.326896925,1.525768756,1.678077043
a construction contractor is,88,1.032954537,1.514772723,1.647727264,1.106274839,0.996492671,1.167074864
a construction foreman is,103,1.515533972,2.077669893,2.203883477,1.237229449,1.060884944,0.905963065
a construction laborer is,107,1.682242977,1.096261679,2.370093451,1.154794191,1.610163778,1.062767382
a consultant is,98,1.24693877,1.238775506,0.868367342,1.253630112,1.12576504,1.242096403
a consumer is,100,1.369999994,0.543,0.832999995,1.473571901,1.608767324,1.296464107
a convict is,91,-2.505555549,-1.184615379,0.964835159,1.159170678,1.813830996,1.486410551
a cook is,101,1.726732659,1.021782179,1.815841569,1.372289402,1.244395755,1.183531376
a cop is,101,1.110891089,2.532673264,1.953465332,1.836295236,1.089505293,1.342725904
a copycat is,98,-1.828571429,-1.112244888,0.513265303,1.202317349,1.523104888,1.473031638
a coroner is,100,1.299999991,0.642999994,-0.584999996,1.425241425,1.246186502,1.583716051
a corporate person is,98,0.099999997,1.728571427,1.361224481,1.218922964,1.458003158,1.227656604
a cosmetologist is,135,1.382962953,0.167407407,1.097777766,1.159872648,1.264133799,1.3594592
a counselor is,107,2.362616809,1.690654196,0.042056078,1.04678514,1.010093649,1.704933863
a cousin is,98,1.741836728,0.280208333,0.425510201,1.496588797,0.966014036,1.026083653
a coward is,104,-2.360576919,-2.826923073,-1.656730761,1.051620877,1.032315787,1.586090286
a CPA is,84,1.471428562,1.048809516,0.083333337,1.288837282,1.345809553,1.651055391
a craftsman is,94,2.298936162,1.222340421,1.498936159,1.134549759,1.273734183,1.335817142
a crane operator is,106,1.501904763,1.461904756,1.467924522,1.187837482,1.250413845,1.390275552
a creditor is,103,-0.652427183,1.692233006,0.963106787,1.500643298,1.269528956,1.418642692
a criminal is,96,-3.055208332,0.111458334,1.182291663,0.896292928,1.955498046,1.72223812
a cripple is,103,-0.456310677,-1.792233004,-1.774757278,1.279144156,1.161277971,1.304796464
a critic is,103,-0.024271843,1.384466012,1.099999994,1.213443156,1.342426622,1.353571885
a crook is,101,-3.168316828,-0.005940594,1.021782173,0.78395545,1.892237917,1.656418048
a crybaby is,103,-2.181553391,-2.084466002,2.021359213,1.122038371,1.21999335,1.541939856
a culprit is,91,-2.236263733,-0.134444442,0.872222217,1.206327438,1.697861256,1.306081511
a custodian is,96,1.42812499,-0.662499999,0.369791662,1.24619024,1.522480661,1.528681554
a customer is,104,1.700961533,1.212499998,0.889423072,1.456921556,1.447172506,1.13102052
a customer support representative is,101,0.877227719,-0.494059407,0.850495043,1.154372656,1.599613815,1.346151822
a customer systems analyst is,95,1.074736835,0.544680853,0.142105262,1.24319153,1.236594082,1.451087549
a customs officer is,135,0.822962957,1.3637037,0.962222217,1.484896125,1.428683106,1.512774781
a cutthroat is,100,-2.464999991,1.445999998,1.797999996,1.450835703,1.788708699,1.674827286
a cynic is,95,-0.804210521,-0.514736841,0.210638295,1.334398877,1.414286408,1.629596423
a dairy farmer is,135,1.985925913,0.559259263,0.826666663,1.383331623,1.341156571,1.619019415
a daredevil is,101,0.179207922,1.698019804,2.775247524,1.472434507,1.177792874,1.180203885
a daughter in law is,101,1.434653458,0.123762378,0.382178219,1.263759124,1.091892713,0.976360184
a daughter is,95,2.362105255,0.289473685,0.991578936,1.424794046,1.664553714,1.269918995
a deadbeat dad is,103,-3.144660188,-2.044660187,-1.792233002,0.896587014,1.844744953,2.002923805
a deadbeat is,103,-2.79805825,-2.154368918,-2.25145631,1.095264375,1.488635154,1.538197576
a decorator is,104,1.646153838,0.864423077,0.989423071,1.179511423,1.215268419,1.397981777
a defendant is,95,-0.020430106,-0.781052628,-0.098947371,1.079508653,1.419866231,1.185685432
a defense attorney is,106,1.202830183,1.98584905,1.857547162,1.423239592,1.146127115,1.258339652
a degenerate is,98,-2.495918364,-1.478571425,-0.115306126,1.352349489,1.747472398,1.851293884
a delinquent is,88,-2.471590905,-0.622727274,1.234090907,0.93672809,1.509489314,1.440935704
a demon is,101,-3.353465349,2.27920792,1.995049496,1.162631868,1.606693295,1.701374522
a dental assistant is,113,1.939822998,0.312389381,0.539823006,1.07939631,1.159674571,1.279127756
a dental hygienist is,137,1.950364955,0.692647057,0.819708024,1.215532079,1.278461592,1.207016209
a dentist is,91,1.972527465,1.673626376,1.054945054,1.516360108,1.114533803,1.440236374
a deputy is,101,1.904950489,1.894059403,1.270297021,1.311287628,1.265766313,1.239882614
a detective is,104,1.665384606,1.849038455,0.338461532,1.161165232,0.884713237,1.736770094
a devil is,100,-3.271999997,1.385999996,1.261999997,1.211066817,2.265107305,2.060586363
a dietician is,99,1.987878771,0.882828279,0.396938775,1.172932192,1.058882776,1.352390329
a dimwit is,92,-1.969565213,-2.448913031,-1.378260869,1.13047098,1.095996167,1.815853627
a diner is,93,1.87096773,0.313978496,1.70537633,1.288543206,1.28499631,1.517819192
a diplomat is,100,1.645999993,2.23499999,0.923232317,1.305885661,1.003164184,1.413046225
a disabled person is,91,0.347252746,-1.115555552,-1.112087908,1.618939333,1.482247838,1.311473735
a disciplinarian is,93,0.630434778,2.246236556,1.305376331,1.592547139,1.204029384,1.306452666
a dishwasher is,95,1.973684205,0.135789469,1.766315784,1.348617143,1.995629041,1.522708289
a disregard is,98,-1.369387751,0.008163272,-0.588775511,1.109323946,1.290142908,1.282465615
a district attorney is,104,0.911538451,2.488461527,1.791346141,1.212900532,1.019166584,1.086198543
a divorce lawyer is,91,-0.067032968,1.809890106,1.467032963,1.298978646,1.27201109,1.32178792
a divorcee is,89,-0.966666667,0.026136364,-0.336046513,1.382504189,1.579283578,1.62226514
a do nothing is,115,-2.252173913,-2.525217378,-2.837391305,1.336357179,1.216757516,1.268613068
a doctor is,106,2.589622625,2.563207534,1.294339615,1.379021688,0.997456334,1.465659615
a doll is,104,1.258653843,-2.423076922,-2.697115383,1.335301906,1.539211171,1.552664906
a dolt is,76,-1.719736843,-2.047368414,-1.097368421,1.544972043,1.247127227,1.630212555
a dope is,92,-1.889130427,-2.019565204,-1.498913048,1.225593061,1.58511199,1.672761389
a drag queen is,101,0.253465343,0.526732672,1.76732672,1.631291772,1.474712926,1.309664752
a dropout is,101,-2.050495049,-2.050495032,-1.331683175,1.154263729,1.262744924,1.444917349
a drug addict is,102,-2.549019613,-2.421568625,0.106862745,1.41300502,1.392314653,1.859642232
a drug dealer is,104,-2.873076918,1.230769226,1.21650485,1.297887066,1.596298932,1.706682189
a drunk is,104,-2.181730763,-1.89326922,0.893269225,1.225439441,1.350243729,1.925569607
a drunkard is,101,-2.325742564,-1.882178208,0.830693069,1.328281104,1.52632867,2.046203443
a dude is,99,0.68383838,0.427272726,0.623232317,1.134316932,1.094496264,1.404935043
a dummy is,104,-1.447115381,-2.238461529,-1.516346145,1.408776701,1.304086756,1.773379779
a dunce is,91,-1.781318669,-2.187912072,-1.465934062,1.322196152,1.109037136,1.745102335
a failure is,102,-2.23333333,-1.177450968,-0.59411765,1.476437603,1.943504377,1.308905028
a fan is,101,1.637623761,0.557425743,2.013861378,1.254181127,1.559701676,1.460207497
a fanatic is,115,-0.926086953,0.377391306,2.419130419,1.634125493,1.414217327,1.063913301
a farm laborer is,103,1.883495142,-0.147572814,1.633980566,1.368561361,1.826270417,1.65491267
a farmer is,101,2.561386128,1.180198016,1.216831677,0.960725803,1.497732937,1.835541837
a fast food server is,102,0.854901954,-1.148039206,1.734313714,1.225603703,1.5439906,1.439024355
a father in law is,102,0.960784311,0.82941176,0.260784311,1.468760968,1.343159284,1.143051053
a father is,189,2.167724861,2.13703703,0.917460312,1.429278053,1.190746102,1.345347333
a fellow is,97,1.147422671,0.583505154,0.264583334,1.195137079,1.068554361,1.11713725
a felon is,106,-2.734905655,-0.053333329,1.231428566,1.127326589,2.076705339,1.498416741
a female is,100,1.917999991,0.818999998,0.65199999,1.520259145,1.552039712,1.344534756
a feminist is,114,0.66315789,0.837719294,1.60088494,1.725614579,1.405953857,1.266497943
a fiance is,94,2.409574472,1.458510634,0.801075269,1.341806615,1.365820053,1.143459154
a fiancee is,93,2.311827951,1.407526881,0.845652172,1.273633066,1.390201471,1.204516506
a fiend is,86,-1.440697669,0.788372088,1.306976738,2.5797573,1.685817557,1.251708536
a fighter is,101,0.428712871,2.200990099,2.558415834,1.468287211,1.193104782,1.035110361
a file clerk is,98,1.133673466,-0.664285706,-0.426530611,1.275538604,1.249102758,1.5150483
a film star is,94,0.85851064,1.914893606,1.93829787,1.305193063,1.419749894,1.298974482
a fire investigator is,97,2.377319583,1.740206189,1.272164938,0.983986917,1.333593191,1.450268808
a firefighter is,101,3.021782176,2.572277217,2.595049497,1.175636343,1.03577206,0.959830847
a firstborn is,103,1.750485433,0.301941748,0.723300967,1.458032099,1.842045988,1.305734248
a fisherman is,95,1.568421043,0.563157897,0.158947362,1.302964136,1.434754971,2.020822173
a flight attendant is,88,1.380681814,0.315909087,1.181818173,1.128406252,1.142379686,1.262686903
a flirt is,98,0.384693877,0.695918368,1.383673471,1.4328511,1.187644157,1.021994604
a flunky is,90,-1.676404492,-1.928888875,-0.351136364,1.478868,1.485150793,1.749876468
a follower is,114,-0.049999998,-1.571052621,-1.162280698,1.228442417,1.145419785,1.318110087
a fool is,90,-2.264444436,-1.948888887,-0.014444443,1.059288624,1.3397337,1.93527637
a foreigner is,100,0.603999995,-0.42,0.226999999,1.245672911,1.112826953,1.185250681
a foreman is,96,1.392631566,1.749473676,1.45520832,1.173940628,1.075142113,1.325051715
a forest ranger is,98,2.281632644,1.189795919,1.251020395,0.99538595,1.217864433,1.231062299
a foster child is,94,1.62978723,-0.88617021,0.670212762,1.438250862,1.553255407,1.377377104
a foster daughter is,99,1.642424234,-0.476767674,0.540404037,1.416383066,1.248903867,1.084107753
a foster father is,102,2.269607837,1.848039207,1.028712869,1.337264042,1.013740289,1.250066925
a foster mother is,98,2.168367336,1.574489796,0.957142854,1.172766306,1.117555434,1.225418083
a foster parent is,92,2.453260865,1.64347826,1.08043478,1.177952322,1.193140134,1.204865513
a foster son is,103,1.19417475,-0.342718448,0.457281548,1.413854774,1.436744823,1.139194923
a freak is,102,-0.457843134,-0.495098037,0.480198015,1.271892341,1.300523687,1.355287403
a free thinker is,100,2.342999979,1.551999994,0.645999994,1.170621434,1.302327363,1.550002925
a freeloader is,106,-2.633018866,-1.70190475,-1.096190474,1.049146751,1.559276274,1.853215698
a friend is,94,3.190425519,1.71489361,0.924468091,1.037373563,1.340033492,1.437866261
a fugitive is,106,-2.547169808,-0.872641504,1.000943391,1.29895251,1.882881937,2.043269791
a fundamentalist is,99,-0.66262626,0.370707069,1.095959592,1.901588261,1.461356133,1.587574146
a fundraiser is,104,2.381730764,1.786538459,1.697115376,1.38632464,1.259993658,1.232682503
a funeral director is,103,1.161165037,0.737864076,-0.649514564,1.256998671,1.064039332,1.683534655
a gal is,100,1.381999997,0.041999999,0.690999999,1.339333467,1.386309686,1.0746007
a gambler is,96,-1.11458333,-0.563541654,1.46041666,1.136845048,1.667340759,1.327718989
a gamer is,102,0.885294113,-0.073529415,0.939215683,1.30235103,1.158346925,1.844078384
a gangster is,100,-2.745,1.439,1.752999988,1.57315709,1.641377532,1.651718111
a garbage collector is,102,1.614705874,0.263725488,1.555882345,1.423730773,1.439250985,1.261271827
a gas station attendant is,101,0.923762368,-0.710999999,0.353465343,1.162768111,1.300263758,1.526929224
a gay is,102,0.960784306,0.05980392,0.612745092,1.516715885,1.1512593,1.129415121
a geek is,104,1.388461533,-0.566346145,-0.625000001,1.471034746,1.741810822,1.672783266
a genius is,135,2.637777779,2.247407406,0.400740739,1.123950039,1.145518827,1.905510321
a gentleman is,96,2.803124993,1.566666661,-0.131250002,1.112082273,1.031163538,1.203268574
a geologist is,90,2.014444429,0.654444443,-0.077777776,1.16238432,1.310044266,1.590758265
a German is,91,0.538888886,0.412222221,0.405494505,1.176043108,0.78823195,0.997592948
a girl is,103,2.005882342,0.545631072,0.869607842,1.581566052,1.590398684,1.221976099
a girl scout is,103,2.318446595,-0.323300967,1.298058246,1.190876071,1.537071566,1.358270271
a girlfriend is,96,1.686458323,0.829166665,1.142708326,1.467085885,1.175801331,1.148155931
a glutton is,100,-2.322000001,-0.746999995,-0.264000001,1.046743874,1.835148129,2.046061498
a gold digger is,104,-2.68365384,-0.209615388,1.425961524,1.194575973,1.951127086,1.49458538
a golfer is,88,0.845977005,0.426136364,-0.136363639,0.958172255,0.853457373,1.521960448
a good Samaritan is,100,3.377999986,1.933999989,0.939999996,0.627256337,1.210995078,1.567601263
a goon is,127,-2.195275586,0.005511812,0.939370076,1.239934606,1.907516749,1.725999019
a gossip is,100,-2.251999999,0.078,1.960999993,1.218997768,2.058467599,1.314787299
